x,y,dir,ref,pt
-71,3.46410161514,0,False,7
-69.5,-2.59807621135,4,False,7
-65,1.73205080757,8,False,7
-71,6.92820323028,0,False,7
-62,2.22044604925e-16,8,False,7
-72.5,-4.33012701892,4,False,7
-60.5,-0.866025403784,10,False,7
-71,8.66025403784,2,False,7
-74,-5.19615242271,6,False,7
-72.5,2.59807621135,10,False,7
-65,3.46410161514,6,False,7
-68,-3.46410161514,2,False,7
-74,-5.19615242271,6,True,11
-60.5,-0.866025403784,2,True,11
-71,8.66025403784,10,True,11
-68,-5.19615242271,0,False,7
-74,3.46410161514,8,False,7
-63.5,4.33012701892,4,False,7
-62,-8.66025403784,6,False,7
-80,1.11022302463e-16,2,False,7
-63.5,11.2583302492,10,False,7
-74,-6.92820323028,8,False,7
-59,6.66133814775e-16,0,False,7
-72.5,9.52627944163,4,False,7
-71,8.66025403784,0,False,3
-74,-5.19615242271,4,False,3
-60.5,-0.866025403784,8,False,3
-62,-10.3923048454,8,False,7
-62,12.124355653,0,False,7
-81.5,0.866025403784,4,False,7
-71,-13.8564064606,6,False,7
-54.5,6.06217782649,10,False,7
-80,10.3923048454,2,False,7
-80,8.66025403784,0,False,7
-69.5,-12.9903810568,4,False,7
-56,6.92820323028,8,False,7
-83,-5.19615242271,4,True,11
-56,-8.66025403784,0,True,11
-66.5,16.4544826719,8,True,11
-78.5,-11.2583302492,4,False,7
-74,15.5884572681,0,False,7
-53,-1.73205080757,8,False,7
-56,-8.66025403784,10,False,3
-83,-5.19615242271,6,False,3
-66.5,16.4544826719,2,False,3
-57.5,-9.52627944163,10,False,7
-65,15.5884572681,2,False,7
-83,-3.46410161514,6,False,7
-60.5,-11.2583302492,10,False,7
-62,13.8564064606,2,False,7
-83,4.4408920985e-16,6,False,7
-51.5,-2.59807621135,10,False,7
-80,-12.124355653,6,False,7
-74,17.3205080757,2,False,7
-77,-12.124355653,2,False,7
-53,1.11022302463e-15,6,False,7
-75.5,14.7224318643,10,False,7
-81.5,7.79422863406,10,False,7
-68,-13.8564064606,2,False,7
-56,8.66025403784,6,False,7
-80,8.66025403784,10,False,3
-56,6.92820323028,6,False,3
-69.5,-12.9903810568,2,False,3
-69.5,-12.9903810568,8,True,11
-56,6.92820323028,4,True,11
-80,8.66025403784,0,True,11
-83,-5.19615242271,8,False,7
-56,-8.66025403784,0,False,7
-66.5,16.4544826719,4,False,7
-81.5,-6.06217782649,10,False,7
-56,-6.92820323028,2,False,7
-68,15.5884572681,6,False,7
-78.5,-11.2583302492,8,True,11
-53,-1.73205080757,4,True,11
-74,15.5884572681,0,True,11
-59,-17.3205080757,6,False,7
-89,1.73205080757,2,False,7
-57.5,18.1865334795,10,False,7
-84.5,6.06217782649,10,False,7
-65,-15.5884572681,2,False,7
-56,12.124355653,6,False,7
-78.5,-11.2583302492,2,False,3
-53,-1.73205080757,6,False,3
-74,15.5884572681,10,False,3
-50,-8.66025403784,6,False,7
-86,-10.3923048454,2,False,7
-69.5,21.6506350946,10,False,7
-80,13.8564064606,8,False,7
-51.5,4.33012701892,4,False,7
-74,-15.5884572681,0,False,7
-53,12.124355653,2,False,7
-66.5,-18.1865334795,10,False,7
-86,8.66025403784,6,False,7
-50,3.46410161514,2,False,7
-75.5,-16.4544826719,10,False,7
-80,15.5884572681,6,False,7
-89,2.88657986403e-15,0,False,7
-59,19.0525588833,8,False,7
-57.5,-16.4544826719,4,False,7
-50,-13.8564064606,8,False,7
-90.5,-7.79422863406,4,False,7
-65,24.248711306,0,False,7
-86,6.92820323028,8,False,7
-54.5,12.9903810568,4,False,7
-65,-17.3205080757,0,False,7
-50,-12.124355653,6,False,7
-66.5,23.3826859022,10,False,7
-89,-8.66025403784,2,False,7
-89,2.88657986403e-15,10,False,3
-59,19.0525588833,6,False,3
-57.5,-16.4544826719,2,False,3
-77,24.248711306,0,False,7
-44,-3.46410161514,8,False,7
-84.5,-18.1865334795,4,False,7
-57.5,-16.4544826719,8,True,11
-89,2.88657986403e-15,0,True,11
-59,19.0525588833,4,True,11
-86,-12.124355653,0,False,7
-71,22.5166604984,8,False,7
-48.5,-7.79422863406,4,False,7
-92,8.66025403784,0,False,7
-50,17.3205080757,8,False,7
-63.5,-23.3826859022,4,False,7
