x,y,dir,ref,pt
-95,-15.5884572681,10,True,11
-96.5,-14.7224318643,4,False,7
-95,-15.5884572681,2,False,7
-95,-17.3205080757,0,False,7
-96.5,-21.6506350946,10,False,7
-98,-20.7846096908,8,False,7
-95,-20.7846096908,0,False,7
-104,-15.5884572681,10,False,3
-104,-15.5884572681,0,True,11
-104,-13.8564064606,2,False,7
-104,-15.5884572681,0,False,7
-105.5,-16.4544826719,10,False,7
-110,-17.3205080757,8,False,7
-110,-15.5884572681,6,False,7
-108.5,-18.1865334795,10,False,7
-90.5,-7.79422863406,2,False,3
-90.5,-7.79422863406,8,True,11
-92,-8.66025403784,6,False,7
-90.5,-7.79422863406,4,False,7
-89,-8.66025403784,2,False,7
-86,-12.124355653,0,False,7
-87.5,-12.9903810568,10,False,7
-86,-10.3923048454,2,False,7
-92,-27.7128129211,0,False,3
-92,-27.7128129211,10,True,11
-93.5,-26.8467875173,4,False,7
-92,-27.7128129211,2,False,7
-92,-29.4448637287,0,False,7
-93.5,-33.7749907476,10,False,7
-95,-32.9089653438,8,False,7
-89,-20.7846096908,4,False,3
-89,-20.7846096908,6,True,11
-89,-22.5166604984,8,False,7
-89,-20.7846096908,6,False,7
-87.5,-19.918584287,4,False,7
-83,-19.0525588833,2,False,7
-83,-20.7846096908,0,False,7
-84.5,-18.1865334795,4,False,7
-84.5,-28.5788383249,2,False,3
-84.5,-28.5788383249,8,True,11
-86,-29.4448637287,6,False,7
-84.5,-28.5788383249,4,False,7
-83,-29.4448637287,2,False,7
-80,-32.9089653438,0,False,7
-81.5,-33.7749907476,10,False,7
-80,-31.1769145362,2,False,7
-89,-36.3730669589,0,False,3
-89,-36.3730669589,10,True,11
-90.5,-35.5070415552,4,False,7
-89,-36.3730669589,2,False,7
-89,-38.1051177665,0,False,7
-90.5,-42.4352447854,10,False,7
-92,-41.5692193817,8,False,7
-89,-41.5692193817,0,False,7
-95,-48.4974226119,10,False,3
-95,-48.4974226119,0,True,11
-95,-46.7653718044,2,False,7
-95,-48.4974226119,0,False,7
-96.5,-49.3634480157,10,False,7
-101,-50.2294734195,8,False,7
-101,-48.4974226119,6,False,7
-99.5,-51.0954988233,10,False,7
-99.5,-40.7031939779,8,False,3
-99.5,-40.7031939779,2,True,11
-98,-39.8371685741,0,False,7
-99.5,-40.7031939779,10,False,7
-101,-39.8371685741,8,False,7
-104,-36.3730669589,6,False,7
-102.5,-35.5070415552,4,False,7
-104,-38.1051177665,8,False,7
-86,-48.4974226119,0,False,3
-86,-48.4974226119,10,True,11
-87.5,-47.6313972081,4,False,7
-86,-48.4974226119,2,False,7
-86,-50.2294734195,0,False,7
-87.5,-54.5596004384,10,False,7
-89,-53.6935750346,8,False,7
-86,-53.6935750346,0,False,7
-113,-24.248711306,10,False,3
-113,-24.248711306,0,True,11
-113,-22.5166604984,2,False,7
